申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,TOEFL,GRE,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
Concordia University 肯高迪亚大学,MA,Educational Studies,offer,2016,Fall,2016-03-12,"Overall: R:29, L:27, S:22,W:27, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 160, 
                    V: 3 /
                    Q:  /
                    AW:",河北科技师范学院,英语,3.5/4,没有论文只有一篇10页的写作范例，三年校奖学金一年国奖，实习三个时间短最长的一个半月，有很多演讲比赛和教师类比赛的一等奖，没套瓷，无牛推,http://bbs.gter.net/forum.php?mod=viewthread&tid=1962265&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Ottawa 渥太华大学,MEd,"Cultures, Societies and Languages",offer,2016,Fall,2016-02-12,"Overall: R:29, L:27, S:22,W:27, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 160, 
                    V: 3 /
                    Q:  /
                    AW:",河北科技师范学院,英语,3.5/4,没有论文只有一篇10页的写作范例，三年校奖学金一年国奖，实习三个时间短最长的一个半月，有很多演讲比赛和教师类比赛的一等奖，没套瓷，无牛推,http://bbs.gter.net/forum.php?mod=viewthread&tid=1962265&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
York University,MA,Social anthropology,被拒,2016,Fall,2016-03-29,"Overall: 101, 
                    R: 24 /
                    L: 26 /
                    S: 24 /
                    W: 27",,,,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961074&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Simon Fraser University,PhD,Computer Science,offer,2016,Fall,2016-01-21,"Overall: 93, 
                    R: 25 /
                    L: 23 /
                    S: 23 /
                    W: 22","Overall: 317, 
                    V: 150 /
                    Q: 167 /
                    AW:",211,计算机,北大算法，87 rank5/150,"ccf列表，一篇C会议一作，一篇A期刊三作
有美国一个合作教授牛推，有老板强推
无牛项目
无牛实习",http://bbs.gter.net/forum.php?mod=viewthread&tid=1961495&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
New York University,PhD,Computer Science,offer,2016,Fall,2016-02-18,"Overall: 93, 
                    R: 25 /
                    L: 23 /
                    S: 23 /
                    W: 22","Overall: 317, 
                    V: 150 /
                    Q: 167 /
                    AW:",211,计算机,北大算法，87 rank5/150,"ccf列表，一篇C会议一作，一篇A期刊三作
有美国一个合作教授牛推，有老板强推
无牛项目
无牛实习",http://bbs.gter.net/forum.php?mod=viewthread&tid=1961495&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Waterloo,Meng,Mechanical Engineering,AD无奖,2016,Fall,2016-04-01,,"Overall: 313, 
                    V: 146 /
                    Q: 166 /
                    AW: 3.0",,ME,3.0,总之就是三维各种渣。。。经历还有一些..,http://bbs.gter.net/forum.php?mod=viewthread&tid=1962200&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Toronto,PhD,Civil Engineering,offer,2016,Fall,2016-02-25,"Overall: 100, 
                    R:  /
                    L:  /
                    S:  /
                    W:","Overall: 147, 
                    V:  /
                    Q:  /
                    AW:",同济大学,交通工程,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1960632&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Concordia University,MA,Educational Techology,offer,2016,Fall,2016-04-02,,,双非,汉语言文学,,conditional adimission 双录取,http://bbs.gter.net/forum.php?mod=viewthread&tid=1962347&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Brock University 布鲁克大学,MBA,PMCC-BUSINESS,offer,2016,Fall,2015-11-20,"R: null /
                    L:  /
                    S:  /
                    W:",,双非,英语（经贸方向）,83,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961008&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Simon Fraser University,MS,Computer Science,offer,2016,Fall,2016-02-20,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23",,清华/北大/中科大,CS,83,"最终决定从了SFU，因为大家一致建议导师比学校重要，SFU跟个很牛的导师。
McGill算是破格录取，因为我没G,T也不到100. 所以陶瓷还是很重要的，只要导师要你其他的都是浮云。
目前没有收到rej，Queen和UWO的申请已经取消了。昨天还被McMaster的一个教授反套，告诉他我已经有去向了，有点受宠若惊，毕竟我的本科成绩和TOEFL都这么渣。
工龄三年的大龄工作党了，这一路走来寄托对我的帮助很大。感谢寄托~",http://bbs.gter.net/forum.php?mod=viewthread&tid=1959761&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,PhD,Computer Science,offer,2016,Fall,2016-03-04,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23",,清华/北大/中科大,CS,83,"最终决定从了SFU，因为大家一致建议导师比学校重要，SFU跟个很牛的导师。
McGill算是破格录取，因为我没G,T也不到100. 所以陶瓷还是很重要的，只要导师要你其他的都是浮云。
目前没有收到rej，Queen和UWO的申请已经取消了。昨天还被McMaster的一个教授反套，告诉他我已经有去向了，有点受宠若惊，毕竟我的本科成绩和TOEFL都这么渣。
工龄三年的大龄工作党了，这一路走来寄托对我的帮助很大。感谢寄托~",http://bbs.gter.net/forum.php?mod=viewthread&tid=1959761&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Calgary,MS,Electrical and Computer Engineer,offer,2016,Fall,2016-03-17,"Overall: 95, 
                    R: 26 /
                    L: 24 /
                    S: 22 /
                    W: 23",,清华/北大/中科大,CS,83,"最终决定从了SFU，因为大家一致建议导师比学校重要，SFU跟个很牛的导师。
McGill算是破格录取，因为我没G,T也不到100. 所以陶瓷还是很重要的，只要导师要你其他的都是浮云。
目前没有收到rej，Queen和UWO的申请已经取消了。昨天还被McMaster的一个教授反套，告诉他我已经有去向了，有点受宠若惊，毕竟我的本科成绩和TOEFL都这么渣。
工龄三年的大龄工作党了，这一路走来寄托对我的帮助很大。感谢寄托~",http://bbs.gter.net/forum.php?mod=viewthread&tid=1959761&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Manitoba,MS,Computer Science,offer,2016,Fall,2016-02-24,"Overall: 91, 
                    R:  /
                    L:  /
                    S:  /
                    W:",,211 & 985,,87.78/100,项目有两个水的，竞赛基本没参加过。一、二、三等奖学金和国家奖学金都拿过的。小本哦，没读研。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1961337&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,MArch 2,Architecture,offer,2016,Fall,2016-03-14,,,双非,建筑,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957926&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Toronto,MArch 2,Architecture,offer,2016,Fall,2016-03-11,,,双非,建筑,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957926&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Washington University in St Louis,MArch 2,Architecture,offer,2016,Fall,2016-03-04,,,双非,建筑,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957926&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
McGill University,MA,Educational Psychology- Inclusive Education,offer,2016,Fall,2016-02-15,,,双非,英语（师范）,87,本科学校巨烂，江苏某不知名二本师范类院校，哈哈不要拆穿我TAT 套了一个nice教授，系里发来的offer上也说最后是她带我。校内一、二等奖学金若干，国家励志奖学金，全国教育科研成果一等奖，全国大学生英语竞赛二等奖；水论文两篇（唯一作者）、全国教师重点课题子课题第二作者（跟老师混的）校级课题一个（和教育心理有点关联）有澳洲暑期交流经历（省政府境外学习奖学金出资）、青奥会、国际马拉松志愿者若干、自办教育微公益协会（创始人之一）、实习经历6个月。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1945579&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Alberta,MS,Statistics,被拒,2016,Fall,2016-02-10,,,,,,换专业申请难度较大,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957745&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Western University,MPEd,TESOL,offer,2016,Fall,2016-02-09,,,双非,英语（师范）,87,本科学校巨烂，江苏某不知名二本师范类院校，哈哈不要拆穿我TAT 套了一个nice教授，系里发来的offer上也说最后是她带我。校内一、二等奖学金若干，国家励志奖学金，全国教育科研成果一等奖，全国大学生英语竞赛二等奖；水论文两篇（唯一作者）、全国教师重点课题子课题第二作者（跟老师混的）校级课题一个（和教育心理有点关联）有澳洲暑期交流经历（省政府境外学习奖学金出资）、青奥会、国际马拉松志愿者若干、自办教育微公益协会（创始人之一）、实习经历6个月。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1945579&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of British Columbia,PhD,Curriculum Studies,AD小奖,2016,Fall,2016-02-17,"Overall: N/A, 
                    R:  /
                    L:  /
                    S:  /
                    W:",,双非,学前教育,3.29/4.00，专业1st/71,我属于继续学习，所以不用雅思和托福成绩了,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957791&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
University of Victoria,PhD,Educational Studies,AD无奖,2016,Fall,2016-03-14,"Overall: N/A, 
                    R:  /
                    L:  /
                    S:  /
                    W:",,双非,学前教育,3.29/4.00，专业1st/71,我属于继续学习，所以不用雅思和托福成绩了,http://bbs.gter.net/forum.php?mod=viewthread&tid=1957791&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
Queen’s University,Meng,Electrical and Computer Engineering,AD无奖,2016,Fall,2016-02-17,,"Overall: 321, 
                    V: 153 /
                    Q: 168 /
                    AW: 3",浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,自动化,3.4/4.3,无，水水的,http://bbs.gter.net/forum.php?mod=viewthread&tid=1958871&extra=page%3D1%26filter%3Dtypeid%26typeid%3D991%26typeid%3D991
