申请学校,学位,专业,申请结果,入学年份,入学学期,通知时间,IELTS,本科学校档次,本科专业,本科成绩和算法，排名,其他说明,url
University College London,MA,Film Studies,AD无奖,2016,Fall,2015-12-09,,211,应用心理学,87.79/100 GPA3.51,"个人背景：大二开始运营电影平台（写在CV里，PS没有写） 写了几十篇影评 
                两个NGO经历 人权方向（实习和志愿）不过没有写在PS里
                发表影评两篇（报纸和网络上的专栏，有稿费，CV）
                电影公司实习半年左右（一个月全职，剩下兼职，写在CV）
                大二拍过微电影（没有写）
                市级英语口语比赛奖 校级征文大赛特等奖 优秀学生奖学金神马的 优秀志愿者 优秀学生干部 （后两个CV未体现）

课程：我们学过东方哲学和西方哲学，选修过大学影视，其它就是专业课",http://bbs.gter.net/forum.php?mod=viewthread&tid=1909499&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Artificial Intelligence,AD无奖,2016,Fall,2015-12-01,,211,电子商务,86,数模一奖；某大型外企研发中心相关实习；实验室；2份研究助理；几篇水paper,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899370&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Exeter,MS,Financial economics,offer,2016,Fall,2015-12-02,,,Accounting,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1912000&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Artificial Intelligence,AD无奖,2016,Fall,2015-11-05,,211,信息安全,87+,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1911747&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of York,MA,Teaching English as a Second Language,offer,2016,Fall,2015-11-12,,双非,英语,86.1 100分制,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1909419&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Computational Mathematical Finance,AD无奖,2016,Fall,2015-12-15,,双非,Actuarial Mathematics,英制76/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1911632&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Kings College London,MS,mkt,offer,2016,Fall,2015-12-04,,211,,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1909397&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,MS,发展认知神经科学,AD无奖,2015,Fall,2015-01-15,,双非,应用心理学,GPA86/100，排名4,跟老师三个项目，心理咨询中心4年，半年医院心理学实习，杂七杂八的校级奖项，n多志愿者活动,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809413&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Environmental Impact Assessment and management,offer,2016,Fall,2015-10-13,,双非,资源环境与城乡规划管理,3.8 排名第三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899802&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of St Andrews,MS,Human Computer Interaction,AD无奖,2016,Fall,2015-12-11,,211 & 985,Software Engineering,86/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1910163&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,MS,Finance,offer,2016,Fall,2015-12-10,,211,国际商务，金融二学位,3.27 84.4%,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1909622&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MLA,Landscape Architecture,AD无奖,2015,Fall,2015-02-15,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,建筑学,GPA 4.2/5; 排名16/34,基本没有特殊经历，除了广州竖梁社实习过一个月，而且也没要到推荐信，普通路人一个,http://bbs.gter.net/forum.php?mod=viewthread&tid=1805907&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bristol,MA,Film Studies,被拒,2016,Fall,2015-11-30,,211,应用心理学,87.79/100 GPA3.51,"个人背景：大二开始运营电影平台（写在CV里，PS没有写） 写了几十篇影评 
                两个NGO经历 人权方向（实习和志愿）不过没有写在PS里
                发表影评两篇（报纸和网络上的专栏，有稿费，CV）
                电影公司实习半年左右（一个月全职，剩下兼职，写在CV）
                大二拍过微电影（没有写）
                市级英语口语比赛奖 校级征文大赛特等奖 优秀学生奖学金神马的 优秀志愿者 优秀学生干部 （后两个CV未体现）

课程：我们学过东方哲学和西方哲学，选修过大学影视，其它就是专业课，可能他们认为无相关罢",http://bbs.gter.net/forum.php?mod=viewthread&tid=1908986&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Cardiff University,MS,"international business,banking&finance",offer,2016,Fall,2015-11-12,,双非,金融,算术平均76,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1909329&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MS,Statistics,被拒,2016,Fall,2015-12-06,,华南农业大学,经济,87/100,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1900306&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MLA,Landscape Architecture,AD无奖,2015,Fall,2015-02-15,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,建筑学,GPA 4.2/5; 排名16/34,基本没有特殊经历，除了广州竖梁社实习过一个月，而且也没要到推荐信，普通路人一个,http://bbs.gter.net/forum.php?mod=viewthread&tid=1805939&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992&page=2
Durham University,MS,Research methods (developmental psychology),offer,2016,Fall,2015-12-01,,,,84,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908990&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
"Institute of Education, University of Lo",MA,Teaching English as a Second Language,offer,2015,Fall,2015-03-26,,双非,英语,83%,无论文无牛推无奖学金（心塞……），两个月支教经历，一次水实习,http://bbs.gter.net/forum.php?mod=viewthread&tid=1815793&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The Hong Kong Polytechnic University,MS,HK:专业会计PA,AD无奖,2015,Fall,2015-06-11,,211,会计学,84,两次会计师事务所实习的经历，比较水的校内奖学金，无论文,http://bbs.gter.net/forum.php?mod=viewthread&tid=1848843&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MS,International Real Estate and Planning,AD无奖,2016,Fall,2015-11-11,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,英语,GPA 3.24,"英语专业嘛...本科期间没有什么学术可言，成绩也一般，还好学校背景还挺好的，只在PS里有提到我参加了学校的辩论队。
毕业后至今3年多，一直在国内某知名房企工作，从住宅到商业都有涉及，跟报的专业契合度比较高，所以这可能是最大的加分项吧。",http://bbs.gter.net/forum.php?mod=viewthread&tid=1909358&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,MS,MACC,AD无奖,2015,Fall,2015-05-01,,211,会计学,84,两次会计师事务所实习的经历，比较水的校内奖学金，无论文,http://bbs.gter.net/forum.php?mod=viewthread&tid=1848843&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Birmingham,MA,Teaching English as a Second Language,AD无奖,2015,Fall,2015-01-15,,211,翻译,GPA.3.5/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1805270&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Wageningen University,MS,Development Studies,被拒,2015,Fall,2015-01-07,,211,外交学；英语语言文学（双学位）,3.47,北京联合国实习一年，联合国会议经历，国内、国际ngo实习各几个月；无research经验,http://bbs.gter.net/forum.php?mod=viewthread&tid=1796170&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MA,film studies,AD无奖,2016,Fall,2015-12-07,,,,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1909711&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University Of Southampton,MS,Biodevices,AD无奖,2016,Fall,2015-12-10,,双非,生物医学工程BME,86.8、 9/99,一个一作水文，一篇在发，几个水专业相关证书，几段科研经历，一个水实习，其他企业奖学金，学校奖学金，课外活动若干~~,http://bbs.gter.net/forum.php?mod=viewthread&tid=1910215&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Newcastle University,MA,Film:theory and practice,offer,2015,Fall,2014-12-02,,双非,院线经营管理,84,光线湖南卫视央视实习 2个国家科研其中一个是编者 然后把自己写的部分翻译了出来当ws 还有一个7分钟的纪录片 1个图片蒙太奇 几篇essay什么的,http://bbs.gter.net/forum.php?mod=viewthread&tid=1790097&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Leeds,MA,film photography and media,AD无奖,2015,Fall,2014-12-02,,双非,院线经营管理,84,光线湖南卫视央视实习 2个国家科研其中一个是编者 然后把自己写的部分翻译了出来当ws 还有一个7分钟的纪录片 1个图片蒙太奇 几篇essay什么的,http://bbs.gter.net/forum.php?mod=viewthread&tid=1790097&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Leicester,MA,film and film cultures,offer,2015,Fall,2014-12-02,,双非,院线经营管理,84,光线湖南卫视央视实习 2个国家科研其中一个是编者 然后把自己写的部分翻译了出来当ws 还有一个7分钟的纪录片 1个图片蒙太奇 几篇essay什么的,http://bbs.gter.net/forum.php?mod=viewthread&tid=1790097&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Loughborough University,MA,global media and cultural industries,offer,2015,Fall,2014-12-02,,双非,院线经营管理,84,光线湖南卫视央视实习 2个国家科研其中一个是编者 然后把自己写的部分翻译了出来当ws 还有一个7分钟的纪录片 1个图片蒙太奇 几篇essay什么的,http://bbs.gter.net/forum.php?mod=viewthread&tid=1790097&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Cardiff University,MS,"Education, Policy and Society",offer,2016,Fall,2015-11-24,,双非,对外汉语,3.2 82加权平均分,推荐信一封是香港浸会大学的老师写得 另一封是学院副院长 平时实习很多 各种助教机会还有在学校教务处实习等,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908959&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bristol,MS,Communication Networks and Signal Processing,AD无奖,2016,Fall,2015-11-03,,211 & 985,,83,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1890648&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University Of Southampton,MS,Electrical and Electronics Engineering,AD无奖,2016,Fall,2015-11-09,,211 & 985,,83,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1890648&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MS,Electrical and Electronics Engineering,AD无奖,2016,Fall,2015-11-01,,211 & 985,,83,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1890648&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Data Science,AD无奖,2016,Fall,2015-12-01,,211,电子商务,86,数模一奖；某大型外企研发中心相关实习；实验室；2份研究助理；几篇水paper,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899370&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of York,MS,Accountig and financial management,offer,2016,Fall,2015-12-01,,,Accounting,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1912000&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,mfin,Internation finance,offer,2016,Fall,2015-12-02,,,Accounting,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1912000&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
City University of Hong Kong,MS,HK:Applied Economics（MSAE）（FT）,offer,2016,Fall,2015-12-03,,,Accounting,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1912000&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University Of Southampton,MA,Educational Research,offer,2016,Fall,2015-11-18,,双非,英语,86.1 100分制,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1909419&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MS,Industrial and Organizational Psychology,AD无奖,2015,Fall,2014-12-17,,双非,应用心理学,GPA86/100，排名4,跟老师三个项目，心理咨询中心4年，半年医院心理学实习，杂七杂八的校级奖项，n多志愿者活动,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809413&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,Industrial and Organizational Psychology,AD无奖,2015,Fall,2015-03-02,,双非,应用心理学,GPA86/100，排名4,跟老师三个项目，心理咨询中心4年，半年医院心理学实习，杂七杂八的校级奖项，n多志愿者活动,http://bbs.gter.net/forum.php?mod=viewthread&tid=1809413&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MS,"Environmental Monitoring,Modelling and reconstruction",offer,2016,Fall,2015-10-10,,双非,资源环境与城乡规划管理,3.8 排名第三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899802&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Liverpool,MS,Environmental Impace and management,offer,2016,Fall,2015-11-16,,双非,资源环境与城乡规划管理,3.8 排名第三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899802&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bristol,MS,Environmental policy and management,offer,2016,Fall,2015-11-19,,双非,资源环境与城乡规划管理,3.8 排名第三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899802&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of East Anglia,MS,Environmental assessment and management,offer,2016,Fall,2015-09-21,,双非,资源环境与城乡规划管理,3.8 排名第三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899802&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MS,ENvironmental science and technology,被拒,2016,Fall,2015-11-10,,双非,资源环境与城乡规划管理,3.8 排名第三,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899802&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MS,Psychological research,offer,2016,Fall,2015-12-01,,,,84,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908990&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of St Andrews,MPhil,Psychology(MRes),被拒,2016,Fall,2015-12-07,,,,84,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908990&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MS,Behavioural and Economic Science,offer,2016,Fall,2015-12-11,,,,84,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908990&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of St Andrews,MS,Human computer interaction,offer,2016,Fall,2015-12-14,,,,84,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908990&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Edinburgh,MS,Performance psychology,offer,2016,Fall,2015-12-17,,,,84,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1908990&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Birmingham,MS,Accounting,AD无奖,2015,Fall,2015-05-25,,211,会计学,84,两次会计师事务所实习的经历，比较水的校内奖学金，无论文,http://bbs.gter.net/forum.php?mod=viewthread&tid=1848843&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Exeter,MS,Financial management,AD无奖,2015,Fall,2015-05-14,,211,会计学,84,两次会计师事务所实习的经历，比较水的校内奖学金，无论文,http://bbs.gter.net/forum.php?mod=viewthread&tid=1848843&extra=page%3D11%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,PhD,HEALTH SCIENCES,AD无奖,2014,Fall,2014-01-28,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,PREVENTIVE MEDICINE,81/100,有较丰富的科研经历，论文还没有发表。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1699478&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Aberdeen,MS,HEALTH SCIENCES,AD无奖,2014,Fall,2013-12-18,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,PREVENTIVE MEDICINE,81/100,有较丰富的科研经历，论文还没有发表。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1699478&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bristol,MS,"NUTRITION, HEALTH",AD无奖,2014,Fall,2014-01-16,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,PREVENTIVE MEDICINE,81/100,有较丰富的科研经历，论文还没有发表。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1699478&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of York,其它,MASTER OF PUBLIC HEALTH,AD无奖,2014,Fall,2013-12-12,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,PREVENTIVE MEDICINE,81/100,有较丰富的科研经历，论文还没有发表。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1699478&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Warwick,MS,Economics and Econometrics,AD无奖,2016,Fall,2015-11-20,,211 & 985,econ,88,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898780&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
National University of Singapore,MS,应用经济学,AD无奖,2016,Fall,2016-02-04,,211 & 985,econ,88,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898780&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of St Andrews,MS,Software Engineering,AD无奖,2016,Fall,2015-12-27,,211 & 985,E-Commerce,加权平均85.33,2个互联网实习，1个数模二等，几个校级小奖 交换经历,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899692&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,MS,Internet System and E-Business,AD无奖,2016,Fall,2015-12-02,,211 & 985,E-Commerce,加权平均85.33,2个互联网实习，1个数模二等，几个校级小奖 交换经历,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899692&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University College London,MA,Comparative Literature,AD无奖,2016,Fall,2015-11-30,,双非,英语,,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1899803&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MS,International Business and Strategy,AD无奖,2016,Fall,2015-11-10,,,hrm,86,一等奖学金一个。校级大创两个。无paper。人力实习一个。社团活动若干。暑期交流一个。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898907&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Cass Business School,MS,Management,AD无奖,2016,Fall,2015-11-19,,,hrm,86,一等奖学金一个。校级大创两个。无paper。人力实习一个。社团活动若干。暑期交流一个。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898907&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bath,MS,Human Resources Management and Consulting,AD无奖,2016,Fall,2015-11-27,,,hrm,86,一等奖学金一个。校级大创两个。无paper。人力实习一个。社团活动若干。暑期交流一个。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898907&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Kings College London,MS,Human Resources Management and Organisational Analysis,被拒,2016,Fall,2015-11-27,,,hrm,86,一等奖学金一个。校级大创两个。无paper。人力实习一个。社团活动若干。暑期交流一个。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898907&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,LLM,法学,offer,2016,Fall,2015-11-11,,211,法学,88,小奖，三个实习，其中一个top内所实习，青奥会志愿者，无论文无牛推,http://bbs.gter.net/forum.php?mod=viewthread&tid=1890915&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Surrey,MS,Operations and Logistics Management,AD无奖,2016,Fall,2015-11-21,,双非,国贸,82.47,工作两年，无其他亮点可言了～,http://bbs.gter.net/forum.php?mod=viewthread&tid=1893362&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Sheffield,MA,Applied Linguistic with TESOL,offer,2016,Fall,2015-11-27,,211,英语,3.37/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898792&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of York,MA,TESOL,offer,2016,Fall,2015-11-26,,211,英语,3.37/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898792&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Durham University,MA,Translation Studies,offer,2016,Fall,2015-11-25,,211,英语,3.37/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898792&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Leeds,MA,Translation Studies,被拒,2016,Fall,2015-11-23,,211,英语,3.37/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898792&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
The University of Manchester,MA,Translation,被拒,2016,Fall,2015-11-20,,211,英语,3.37/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898792&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Glasgow,MA,Translation,被拒,2016,Fall,2015-11-20,,211,英语,3.37/4.0,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1898792&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MS,Human Resources Management,offer,2016,Fall,2015-10-23,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,HRM,3.5,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1894054&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Exeter,MS,Human Resources Management,offer,2016,Fall,2015-11-11,,浙大/复旦/南大/南开/武大/华中科大/上海交大/天大,HRM,3.5,,http://bbs.gter.net/forum.php?mod=viewthread&tid=1894054&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
Lancaster University,MA,Teaching English as a Second Language,offer,2016,Fall,2015-11-19,,211,汉语言文学（师范）辅修英语,3.38/5.0,有海外支教经历、三下乡支教经历，科研立项社会语言学项目一个，瑞士交换经历。调研比赛奖项若干。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1902021&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
University of Bath,MA,Teaching English as a Second Language,offer,2016,Fall,2015-12-09,,211,汉语言文学（师范）辅修英语,3.38/5.0,有海外支教经历、三下乡支教经历，科研立项社会语言学项目一个，瑞士交换经历。调研比赛奖项若干。,http://bbs.gter.net/forum.php?mod=viewthread&tid=1902021&extra=page%3D12%26filter%3Dtypeid%26typeid%3D992%26typeid%3D992
